dt,open,high,low,close,volume
2020-12-01 06:00:00,19483.73,19517.94,19309.87,19338.34,3129.776329
2020-12-01 07:00:00,19338.33,19546.81,19300.0,19515.63,3009.225182
2020-12-01 08:00:00,19515.62,19567.0,19441.19,19466.99,3143.172961
2020-12-01 09:00:00,19467.0,19570.0,19426.96,19565.0,2824.268695
2020-12-01 10:00:00,19564.99,19800.0,19558.77,19739.51,7640.260767
2020-12-01 11:00:00,19739.51,19888.0,18886.0,19425.0,14556.657151
2020-12-01 12:00:00,19425.4,19482.01,18399.99,18551.35,17554.24707
2020-12-01 13:00:00,18550.25,18844.15,18001.12,18759.73,14772.777639
2020-12-01 14:00:00,18759.74,19364.82,18651.0,19285.31,7821.047189
2020-12-01 15:00:00,19285.3,19489.3,19147.6,19263.37,6838.162713
2020-12-01 16:00:00,19263.36,19325.83,18938.22,19058.8,5690.017039
2020-12-01 17:00:00,19058.8,19086.95,18611.88,19058.4,6526.028983
2020-12-01 18:00:00,19058.4,19074.64,18693.37,18738.82,3316.505911
2020-12-01 19:00:00,18738.83,19135.19,18720.48,19069.79,2954.651375
2020-12-01 20:00:00,19069.79,19150.0,18862.0,19024.32,2451.419624
2020-12-01 21:00:00,19024.33,19211.0,18936.61,19038.39,2275.27857
2020-12-01 22:00:00,19038.39,19156.72,18830.18,18895.0,1719.522796
2020-12-01 23:00:00,18895.01,18943.26,18725.0,18764.96,2883.10159
2020-12-02 00:00:00,18764.96,18877.92,18433.0,18836.51,4372.162317
2020-12-02 01:00:00,18836.5,18972.12,18703.0,18854.01,2504.979019
2020-12-02 02:00:00,18854.01,18863.73,18639.86,18676.4,1647.545452
2020-12-02 03:00:00,18676.39,18788.32,18506.16,18618.25,3284.666149
2020-12-02 04:00:00,18618.0,18700.0,18330.0,18550.96,4330.094724
2020-12-02 05:00:00,18550.95,18660.0,18465.42,18654.41,2661.915712
2020-12-02 06:00:00,18654.27,18939.97,18630.63,18926.66,4068.001777
2020-12-02 07:00:00,18924.13,19135.0,18833.0,19124.48,4325.750236
2020-12-02 08:00:00,19124.49,19342.0,19059.09,19195.19,4980.517871
2020-12-02 09:00:00,19195.52,19319.67,18977.03,19035.99,3695.078977
2020-12-02 10:00:00,19036.29,19196.63,18991.43,19103.39,3344.073936
2020-12-02 11:00:00,19103.38,19199.0,19022.47,19127.31,2688.864019
2020-12-02 12:00:00,19127.31,19129.13,18792.31,18940.98,4128.997824
2020-12-02 13:00:00,18940.97,19250.7,18919.31,19124.51,3955.239884
2020-12-02 14:00:00,19126.75,19175.0,18850.0,18910.21,4219.856604
2020-12-02 15:00:00,18910.21,18989.0,18728.38,18891.57,3966.239422
2020-12-02 16:00:00,18891.57,19015.7,18770.0,18856.25,3304.383039
2020-12-02 17:00:00,18856.25,18999.0,18810.27,18976.33,2378.363036
2020-12-02 18:00:00,18976.33,19068.0,18894.8,19011.99,2505.872597
2020-12-02 19:00:00,19011.97,19139.06,18964.08,19101.1,2128.498473
2020-12-02 20:00:00,19101.1,19150.0,19044.85,19083.4,2075.778464
2020-12-02 21:00:00,19083.77,19168.91,19046.3,19145.01,1486.371573
2020-12-02 22:00:00,19145.0,19235.0,19099.0,19111.13,1845.354603
2020-12-02 23:00:00,19111.13,19260.0,19089.5,19204.09,2012.40777
2020-12-03 00:00:00,19204.08,19299.0,19150.76,19180.0,2131.560886
2020-12-03 01:00:00,19180.0,19184.54,18940.0,19016.91,2664.789937
2020-12-03 02:00:00,19016.92,19099.05,18945.0,19041.73,2011.154103
2020-12-03 03:00:00,19041.73,19178.87,19013.17,19087.0,1658.093318
2020-12-03 04:00:00,19087.01,19124.03,19022.22,19041.21,1398.143328
2020-12-03 05:00:00,19041.21,19110.0,18867.2,18922.83,2207.439489
2020-12-03 06:00:00,18922.83,19015.42,18880.51,18970.24,1915.073941
2020-12-03 07:00:00,18970.24,19250.0,18911.0,19208.11,3187.186407
2020-12-03 08:00:00,19208.11,19450.0,19161.85,19378.79,6548.804707
2020-12-03 09:00:00,19378.79,19420.96,19097.6,19363.99,4473.862826
2020-12-03 10:00:00,19363.98,19422.9,19244.75,19353.69,3404.982735
2020-12-03 11:00:00,19353.69,19444.4,19290.0,19396.5,3752.006358
2020-12-03 12:00:00,19396.49,19425.0,19219.78,19321.26,3073.255484
2020-12-03 13:00:00,19321.26,19375.16,19252.2,19281.0,2397.631645
2020-12-03 14:00:00,19281.51,19397.0,19274.0,19351.32,2196.785603
2020-12-03 15:00:00,19351.32,19536.2,19300.0,19535.0,4242.672379
2020-12-03 16:00:00,19535.0,19598.0,19251.76,19354.78,5994.113495
2020-12-03 17:00:00,19354.78,19384.23,19194.06,19299.23,2612.551421
2020-12-03 18:00:00,19299.24,19398.9,19299.24,19371.46,2030.270253
2020-12-03 19:00:00,19371.46,19422.9,19328.51,19414.29,1747.888777
2020-12-03 20:00:00,19414.29,19435.29,19306.27,19369.44,1970.71359
2020-12-03 21:00:00,19369.44,19462.24,19328.92,19438.86,1585.05878
2020-12-03 22:00:00,19438.86,19479.71,19402.0,19464.11,1224.310923
2020-12-03 23:00:00,19464.12,19540.0,19402.11,19421.9,2261.040894
2020-12-04 00:00:00,19422.34,19527.0,19378.92,19460.65,2083.900225
2020-12-04 01:00:00,19462.49,19489.84,19319.39,19321.42,1937.056634
2020-12-04 02:00:00,19323.31,19375.0,19250.0,19251.92,2016.847648
2020-12-04 03:00:00,19251.92,19323.31,19122.74,19162.62,2645.78391
2020-12-04 04:00:00,19162.62,19318.83,19122.48,19286.78,2332.879073
2020-12-04 05:00:00,19286.78,19312.79,19190.52,19200.07,1607.201706
2020-12-04 06:00:00,19200.01,19367.05,19192.89,19317.13,1791.575063
2020-12-04 07:00:00,19317.13,19335.83,19238.31,19283.94,2191.960974
2020-12-04 08:00:00,19283.94,19447.14,19281.23,19388.89,3152.638117
2020-12-04 09:00:00,19388.9,19410.49,19316.11,19354.23,1738.767103
