,feature,score
446,"rEMA(data,""close"",82)",0.0011331351335527615
445,"rEMA(data,""close"",81)",0.0010856261787455792
42,"rBollinger(data,""close"",16)[0]",0.0010846736062998974
722,"rSMA(data,""close"",68)",0.001083202358873349
723,"rSMA(data,""close"",69)",0.001080878009132443
725,"rSMA(data,""close"",71)",0.001077092977351863
213,"rMACD(data,""close"",47,23,9)",0.0010675556103090663
678,"rSMA(data,""close"",24)",0.0010587657924677001
39,"rBollinger(data,""close"",15)[0]",0.0010504083085623118
51,"rBollinger(data,""close"",19)[0]",0.0010351497598666789
281,"rATR(data,9)[0]",0.0010300293305191852
290,"rATR(data,12)[0]",0.0010293599820735823
272,"rATR(data,6)[0]",0.0010269353446288976
54,"rBollinger(data,""close"",20)[0]",0.0010263681559569168
673,"rSMA(data,""close"",19)",0.0010204279226109752
444,"rEMA(data,""close"",80)",0.0010072079009522106
727,"rSMA(data,""close"",73)",0.0010058502351688082
724,"rSMA(data,""close"",70)",0.0009983422874266217
321,"rATR(data,22)[1]",0.0009895484135565818
275,"rATR(data,7)[0]",0.0009806419636146188
212,"rMACD(data,""close"",46,23,9)",0.0009795084933196115
269,"rATR(data,5)[0]",0.0009556521253896691
127,"RSI(data,""close"",17)",0.0009554650669464807
312,"rATR(data,19)[1]",0.0009512344028043345
315,"rATR(data,20)[1]",0.0009510817535331078
309,"rATR(data,18)[1]",0.0009497722163857057
667,"rSMA(data,""close"",13)",0.0009431950664801673
48,"rBollinger(data,""close"",18)[0]",0.0009344038066334739
302,"rATR(data,16)[0]",0.0009314832294623488
266,"rATR(data,4)[0]",0.0009285749496964612
293,"rATR(data,13)[0]",0.0009251746268610276
318,"rATR(data,21)[1]",0.0008992983353211161
306,"rATR(data,17)[1]",0.0008808819486971807
67,"rBollinger(data,""close"",24)[1]",0.0008788579732924439
721,"rSMA(data,""close"",67)",0.000873640931799591
683,"rSMA(data,""close"",29)",0.0008659128483957921
303,"rATR(data,16)[1]",0.0008650148001636834
45,"rBollinger(data,""close"",17)[0]",0.0008582250600353079
46,"rBollinger(data,""close"",17)[1]",0.0008365029737896321
61,"rBollinger(data,""close"",22)[1]",0.0008348778962842192
64,"rBollinger(data,""close"",23)[1]",0.0008202059110186142
447,"rEMA(data,""close"",83)",0.000816757372258891
709,"rSMA(data,""close"",55)",0.0008138752291979651
296,"rATR(data,14)[0]",0.0008132629538776366
715,"rSMA(data,""close"",61)",0.0007935815602993772
287,"rATR(data,11)[0]",0.0007885140618843759
278,"rATR(data,8)[0]",0.0007800776180906714
57,"rBollinger(data,""close"",21)[0]",0.0007790990270087217
353,"rATR(data,33)[0]",0.0007680838566919406
368,"rATR(data,38)[0]",0.0007675937321683554
365,"rATR(data,37)[0]",0.000766665191975548
339,"rATR(data,28)[1]",0.00076223258206408
719,"rSMA(data,""close"",65)",0.0007622123118430667
308,"rATR(data,18)[0]",0.0007620525048428609
63,"rBollinger(data,""close"",23)[0]",0.0007607783106221985
70,"rBollinger(data,""close"",25)[1]",0.0007479851974183429
710,"rSMA(data,""close"",56)",0.0007441890065592144
371,"rATR(data,39)[0]",0.0007435449420869777
299,"rATR(data,15)[0]",0.000741861223975051
305,"rATR(data,17)[0]",0.0007357195053898772
718,"rSMA(data,""close"",64)",0.0007306213952840108
720,"rSMA(data,""close"",66)",0.0007183404483112392
359,"rATR(data,35)[0]",0.000716335682249909
335,"rATR(data,27)[0]",0.0007050038128117446
676,"rSMA(data,""close"",22)",0.0007041716193524069
713,"rSMA(data,""close"",59)",0.0007008863985429257
317,"rATR(data,21)[0]",0.0006931141036772067
52,"rBollinger(data,""close"",19)[1]",0.0006908422680533673
2,"rGradient(data,""high"")",0.0006873268876258905
449,"rEMA(data,""close"",85)",0.0006846992542208231
7,"rBollinger(data,""close"",4)[1]",0.0006816073289659035
443,"rEMA(data,""close"",79)",0.0006716791540241643
119,"RSI(data,""close"",9)",0.0006697306684669055
58,"rBollinger(data,""close"",21)[1]",0.0006686929694878952
73,"rBollinger(data,""close"",26)[1]",0.0006675693114968273
323,"rATR(data,23)[0]",0.0006455186569316983
332,"rATR(data,26)[0]",0.0006432637979302726
329,"rATR(data,25)[0]",0.0006419050176486587
347,"rATR(data,31)[0]",0.0006374611500710598
123,"RSI(data,""close"",13)",0.0006363180085487692
711,"rSMA(data,""close"",57)",0.0006330980614476692
356,"rATR(data,34)[0]",0.0006299255597854473
66,"rBollinger(data,""close"",24)[0]",0.0006276903757184776
327,"rATR(data,24)[1]",0.0006251142880432665
122,"RSI(data,""close"",12)",0.0006211006739683889
320,"rATR(data,22)[0]",0.000616808397569531
333,"rATR(data,26)[1]",0.0006147355451970219
72,"rBollinger(data,""close"",26)[0]",0.0006123209486884984
60,"rBollinger(data,""close"",22)[0]",0.0006063889808022261
336,"rATR(data,27)[1]",0.0006023002803938792
448,"rEMA(data,""close"",84)",0.0005945085882932804
69,"rBollinger(data,""close"",25)[0]",0.0005921228730443076
49,"rBollinger(data,""close"",18)[1]",0.0005857455114660885
120,"RSI(data,""close"",10)",0.0005856369645830242
121,"RSI(data,""close"",11)",0.0005843597150921389
362,"rATR(data,36)[0]",0.0005833635219027401
311,"rATR(data,19)[0]",0.0005824555980720562
372,"rATR(data,39)[1]",0.0005787284353628238
55,"rBollinger(data,""close"",20)[1]",0.000575732733716013
707,"rSMA(data,""close"",53)",0.0005725211207303783
338,"rATR(data,28)[0]",0.0005711085944542233
716,"rSMA(data,""close"",62)",0.0005703393960562065
324,"rATR(data,23)[1]",0.0005692936898388485
33,"rBollinger(data,""close"",13)[0]",0.0005566464808757143
341,"rATR(data,29)[0]",0.000549348632072777
326,"rATR(data,24)[0]",0.0005446525461432328
350,"rATR(data,32)[0]",0.0005382705751585768
680,"rSMA(data,""close"",26)",0.0005359122991867173
3,"rGradient(data,""low"")",0.0005352400017947131
128,"RSI(data,""close"",18)",0.0005344845862426528
344,"rATR(data,30)[0]",0.0005326538682805322
78,"rBollinger(data,""close"",28)[0]",0.0005152579413263341
76,"rBollinger(data,""close"",27)[1]",0.0005113083052997645
330,"rATR(data,25)[1]",0.000505650008803845
351,"rATR(data,32)[1]",0.0005040718743145413
314,"rATR(data,20)[0]",0.0005036737415767604
717,"rSMA(data,""close"",63)",0.0004893670501729724
360,"rATR(data,35)[1]",0.0004883781035196767
450,"rEMA(data,""close"",86)",0.00048502947021831946
